T,TEMP1,TEMP2,TEMP3,TEMPMPU,ACCX,ACCY,ACCZ,LOAD
0.0,17.82,19.68,21.72,20.41,0.00,0.00,0.01,-0.00
0.0,17.50,19.68,21.72,20.46,-0.00,-0.00,0.00,-0.00
0.1,17.82,19.68,21.44,20.41,-0.00,-0.00,0.00,0.00
0.2,17.50,19.68,21.72,20.32,-0.00,-0.01,-0.00,-0.01
0.3,17.82,19.98,21.44,20.41,-0.00,0.00,-0.00,-0.01
0.4,17.82,19.98,21.72,20.46,0.00,-0.00,-0.01,-0.00
0.5,17.50,19.68,21.72,20.46,-0.00,-0.00,0.00,-0.00
0.6,17.50,19.68,21.44,20.46,0.00,0.01,0.00,-0.01
0.7,17.82,19.68,21.44,20.46,0.00,-0.00,-0.01,-0.01
0.8,17.82,19.68,21.72,20.41,-0.00,0.00,0.00,-0.00
0.9,17.82,19.68,21.72,20.41,0.00,-0.01,-0.00,0.01
1.0,17.50,19.68,21.72,20.46,0.01,-0.00,0.00,-0.01
1.0,17.50,19.98,21.72,20.36,-0.00,-0.00,0.00,-0.01
1.1,17.50,19.68,21.72,20.32,0.00,0.00,0.00,-0.01
1.2,17.82,19.68,21.44,20.36,-0.00,-0.00,-0.01,0.00
1.3,17.50,19.98,21.72,20.46,-0.00,-0.00,0.00,-0.01
1.4,17.82,19.68,21.44,20.36,0.00,-0.00,-0.00,-0.02
1.5,17.82,19.68,21.72,20.36,0.00,0.01,-0.00,0.00
1.6,17.82,19.68,21.72,20.41,-0.00,-0.00,0.01,0.02
1.7,17.82,19.68,21.72,20.41,0.00,0.00,0.00,0.02
1.8,17.82,19.68,21.72,20.51,-0.00,0.00,0.01,0.02
1.9,17.50,19.68,21.72,20.41,-0.01,-0.00,-0.01,0.01
2.0,17.82,19.68,21.72,20.46,0.00,0.01,0.00,0.01
2.0,17.82,19.68,21.72,20.41,0.00,-0.00,0.00,-0.00
2.1,17.50,19.98,21.72,20.55,-0.01,-0.00,-0.00,-0.01
2.2,17.82,19.68,21.72,20.41,-0.00,-0.00,0.00,-0.01
2.3,17.82,19.98,21.44,20.51,-0.01,-0.00,-0.00,-0.01
2.4,17.82,19.68,21.44,20.41,-0.01,-0.01,0.00,-0.01
2.5,17.50,19.68,21.72,20.46,-0.00,-0.00,-0.00,-0.00
2.6,17.82,19.98,21.72,20.36,-0.00,0.00,-0.01,0.00
2.7,17.82,19.98,21.72,20.41,-0.00,-0.00,-0.00,0.00
2.8,17.82,19.68,21.72,20.36,-0.00,-0.00,-0.01,-0.01
2.9,17.82,19.98,21.72,20.41,0.01,-0.00,-0.00,-0.02
3.0,17.50,19.68,21.72,20.46,-0.00,-0.00,0.00,-0.01
3.1,17.82,19.68,21.44,20.51,0.00,-0.00,-0.01,-0.01
3.2,17.82,19.68,21.44,20.41,0.00,0.00,-0.01,-0.01
3.2,17.82,19.68,21.72,20.51,-0.00,0.00,-0.00,-0.01
3.3,17.17,19.98,21.44,20.36,0.00,-0.00,-0.00,-0.00
3.4,17.50,19.68,21.44,20.46,-0.00,0.00,0.00,-0.00
3.5,17.50,19.68,21.44,20.36,0.00,-0.00,-0.01,-0.02
3.6,17.82,19.68,21.72,20.32,-0.01,0.00,0.00,-0.00
3.7,17.82,19.98,21.72,20.36,-0.00,-0.00,-0.01,0.00
3.8,17.50,19.68,21.44,20.41,0.00,-0.00,-0.01,0.01
3.9,17.50,19.68,21.44,20.41,0.00,-0.01,0.00,0.06
4.0,17.82,19.68,21.44,20.41,-0.00,-0.01,-0.01,0.08
4.1,17.50,19.98,21.44,20.36,-0.00,-0.00,-0.01,0.04
4.2,17.50,19.68,21.44,20.41,0.00,-0.00,-0.00,0.03
4.3,17.50,19.68,21.44,20.46,0.00,0.00,-0.00,0.01
4.4,17.50,19.98,21.44,20.36,-0.00,0.00,-0.01,0.03
4.4,17.82,19.98,21.72,20.36,0.00,0.00,0.01,0.03
4.5,17.82,19.68,21.44,20.46,-0.00,-0.00,0.00,-0.00
4.7,17.50,19.68,21.44,20.41,0.00,0.00,-0.00,-0.00
4.7,17.50,19.98,21.44,20.41,0.00,-0.00,0.01,0.00
4.8,17.82,19.68,21.44,20.36,0.00,0.00,0.00,-0.00
4.9,17.82,19.68,21.44,20.46,-0.00,0.01,0.00,-0.00
5.0,17.82,19.98,21.44,20.41,0.00,0.00,-0.00,0.00
5.1,17.82,19.68,21.44,20.36,0.00,0.00,-0.00,0.00
5.2,17.82,19.68,21.72,20.27,0.01,-0.00,-0.01,0.00
5.3,17.50,19.68,21.44,20.46,0.00,0.00,-0.00,-0.00
5.4,17.82,19.68,21.44,20.36,-0.01,0.00,0.00,0.01
5.5,17.50,19.68,21.72,20.36,0.00,-0.00,-0.00,0.02
5.6,17.82,20.28,21.44,20.32,-0.00,-0.00,-0.00,0.01
5.6,17.82,19.68,21.72,20.27,0.00,0.00,-0.00,-0.01
5.7,17.82,19.68,21.44,20.41,0.00,-0.00,0.01,-0.00
5.8,17.82,19.68,21.44,20.36,-0.00,0.00,0.00,0.01
5.9,17.82,19.98,21.44,20.32,0.01,-0.00,0.00,0.01
