T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,28.59,26.70,29.05,-0.20,0.49,0
0.1,28.36,26.45,30.40,-0.21,0.49,0
0.2,28.59,26.70,29.05,-0.21,0.49,0
0.2,28.59,26.70,28.82,-0.20,0.49,0
0.3,28.36,26.70,27.89,-0.20,0.49,
0.4,28.59,26.70,29.05,-0.21,0.49,0
0.5,28.36,26.70,29.28,-0.23,0.49,0
0.6,28.36,26.70,29.28,-0.23,0.49,0
0.7,28.36,26.94,28.13,-0.23,0.49,0
0.8,28.36,26.45,30.18,-0.15,0.49,0
0.9,28.36,26.70,29.28,0.09,0.48,0
1.0,28.59,26.70,29.28,0.40,0.49,0
1.1,28.59,26.94,29.05,0.78,0.49,0
1.1,28.13,26.70,29.28,1.17,0.49,0
1.2,28.36,27.18,27.66,1.24,0.49,0
1.3,28.13,26.70,29.05,0.47,0.48,0
1.4,28.59,26.70,29.28,0.05,0.49,0
1.5,28.59,26.70,29.28,-0.02,0.49,0
1.6,28.36,26.70,29.28,0.03,0.49,0
1.7,28.36,26.70,29.28,0.37,0.49,0
1.8,28.36,26.45,29.28,0.70,0.49,0
1.9,28.36,26.94,29.28,0.97,0.49,0
2.0,28.59,26.45,29.73,0.92,0.49,0
2.1,28.36,26.70,28.36,0.90,0.49,0
2.2,28.36,26.70,27.66,0.84,0.49,0
2.3,28.36,27.18,29.28,0.76,0.49,0
2.3,28.36,26.70,29.05,0.71,0.49,0
2.4,28.36,26.70,29.51,0.69,0.49,0
2.5,28.36,26.70,29.05,0.63,0.49,0
2.6,28.36,27.18,29.28,0.60,0.49,0
2.7,28.36,26.70,29.51,0.56,0.49,0
2.8,28.36,26.70,28.82,0.51,0.49,0
2.9,28.59,26.45,29.28,0.47,0.49,0
3.0,28.36,26.45,29.05,0.31,0.49,0
3.1,28.36,26.70,29.28,0.05,0.49,0
3.2,28.36,26.45,29.05,0.08,0.49,0
3.3,28.59,26.70,27.89,0.14,0.49,0
3.4,28.36,26.70,30.18,0.20,0.49,0
3.4,28.36,26.70,29.28,0.23,0.49,0
3.5,28.59,26.45,28.59,0.27,0.49,0
3.6,28.59,26.70,29.05,0.17,0.49,0
3.7,28.59,26.70,29.28,0.14,0.49,0
3.8,28.36,26.70,29.05,0.11,0.49,0
3.9,28.59,26.70,29.28,0.05,0.49,0
4.0,28.36,26.70,29.05,-0.14,0.49,0
4.1,28.59,26.94,29.51,-0.30,0.49,0
4.2,28.13,26.94,29.73,-0.21,0.49,0
4.3,28.59,26.94,29.28,0.01,0.49,0
4.4,28.59,26.70,28.36,0.14,0.49,0
4.5,28.36,26.70,29.05,0.16,0.49,0
4.5,28.36,26.70,29.28,0.12,0.49,0
4.6,28.13,26.94,30.18,-0.04,0.49,0
4.7,28.13,26.94,27.89,-0.06,0.49,0
4.8,28.82,27.18,29.28,0.01,0.49,0
4.9,28.59,26.70,29.28,0.04,0.49,0
5.0,28.59,26.70,29.28,0.02,0.49,0
5.1,28.59,26.94,28.82,-0.02,0.49,0
5.2,28.36,26.94,29.51,-0.04,0.49,0
5.3,28.59,26.70,29.05,-0.05,0.49,0
5.4,28.59,27.18,29.05,-0.08,0.49,0
5.5,28.59,26.70,29.28,-0.06,0.49,0
5.6,28.59,26.94,29.28,-0.08,0.49,0
5.6,28.82,26.70,29.28,-0.05,0.49,0
5.7,28.36,26.94,29.28,-0.08,0.49,0
5.8,28.59,26.94,29.05,-0.21,0.49,0
5.9,28.82,26.94,29.28,-0.18,0.49,0
6.0,28.36,26.94,29.28,-0.12,0.49,0
6.1,28.36,26.70,29.05,-0.17,0.49,0
