T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,22.83,21.15,-273.15,-0.01,1.00,0
0.1,22.83,21.72,-52.78,-0.02,1.00,0
0.2,23.10,21.15,-273.15,-0.02,1.04,0
0.2,24.17,20.86,-273.15,-0.03,1.00,0
0.3,22.28,21.15,-28.23,-0.03,1.00,0
0.4,22.83,21.44,-273.15,-0.04,0.96,0
0.5,22.56,21.15,-273.15,-0.04,1.00,0
0.6,22.83,21.44,-25.85,-0.03,1.00,0
0.7,22.83,21.72,-273.15,-0.02,0.96,0
0.8,22.56,21.15,-273.15,-0.03,1.00,0
0.8,22.56,21.44,-273.15,-0.04,0.96,0
0.9,22.83,21.15,-273.15,-0.03,1.00,0
1.0,21.15,20.28,-273.15,-0.03,1.00,0
1.1,22.28,22.00,-273.15,-0.04,1.00,0
1.2,23.10,21.44,-273.15,-0.04,1.00,0
1.3,22.28,21.15,-273.15,-0.04,1.00,0
1.4,22.28,21.44,-273.15,-0.04,1.04,0
1.5,21.72,20.86,-273.15,-0.04,1.00,0
1.6,24.17,22.00,-273.15,-0.05,1.00,0
1.7,23.10,21.44,-273.15,-0.06,1.00,0
1.7,22.83,21.72,-273.15,-0.07,1.00,0
1.8,22.56,21.15,-273.15,-0.08,1.00,0
1.9,22.83,21.15,-273.15,-0.08,1.04,0
2.0,23.10,21.15,-273.15,-0.08,1.00,0
2.1,23.37,21.15,-273.15,-0.08,1.04,0
2.2,22.83,21.44,-34.26,-0.08,1.00,0
2.3,22.83,21.44,-273.15,-0.08,0.96,0
2.4,23.37,21.15,-273.15,-0.09,1.00,0
2.5,22.56,21.15,-273.15,-0.10,1.00,0
2.6,22.83,21.44,-273.15,-0.10,1.00,0
2.7,22.83,21.15,-273.15,-0.11,1.00,0
2.8,21.15,20.28,-273.15,-0.11,1.00,0
2.8,22.83,21.44,-273.15,-0.12,1.00,0
2.9,22.83,21.15,-273.15,-0.12,1.00,0
3.0,22.56,21.15,-273.15,-0.12,1.00,0
3.1,22.56,21.15,-273.15,-0.12,1.00,0
3.2,21.72,20.57,-273.15,-0.13,1.00,0
