T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-3.0,22.0,21.15,-273.15,1.56,1.0,0
-2.9,22.0,21.44,-43.9,2.61,0.96,0
-2.8,22.0,20.86,-273.15,3.23,1.0,0
-2.7,22.83,22.56,-273.15,1.27,1.0,0
-2.6,22.0,21.44,-273.15,1.01,1.0,0
-2.5,22.0,21.44,-273.15,1.07,0.96,0
-2.4,21.72,21.44,-273.15,1.07,0.96,0
-2.3,21.72,21.44,-38.36,1.05,1.0,0
-2.3,22.0,21.44,-43.9,1.1,0.96,0
-2.2,22.56,21.44,-273.15,1.16,1.04,0
-2.1,22.56,21.44,-30.98,1.19,0.96,0
-2.0,22.56,21.72,-52.78,1.2,0.96,0
-1.9,23.1,21.72,-52.78,1.2,1.0,0
-1.8,22.28,21.15,-273.15,1.23,1.0,0
-1.7,21.72,21.44,-273.15,1.24,1.0,0
-1.6,22.0,21.15,-273.15,1.24,1.0,0
-1.5,22.0,22.0,-273.15,1.22,1.0,0
-1.4,22.0,23.1,-273.15,1.23,1.0,0
-1.3,21.72,21.44,-273.15,1.24,1.0,0
-1.2,22.28,21.15,-273.15,1.21,1.0,0
-1.1,21.72,22.0,-273.15,1.21,1.0,0
-1.1,22.0,21.44,-273.15,1.24,0.96,0
-1.0,23.1,20.57,-28.23,1.25,1.0,0
-0.9,22.28,21.72,-43.9,1.25,1.04,0
-0.8,22.28,22.83,-273.15,1.25,1.0,0
-0.7,22.0,21.44,-273.15,1.25,1.0,0
-0.6,22.83,21.44,-273.15,1.25,1.0,0
-0.5,22.0,21.15,-273.15,1.25,0.96,0
-0.4,21.72,21.15,-38.36,1.26,1.0,0
-0.3,22.56,21.72,-273.15,1.27,0.96,0
-0.2,22.0,21.44,-18.58,1.26,1.0,0
-0.1,22.28,21.44,-273.15,1.26,1.0,0
0.0,21.72,20.28,-43.9,1.26,1.0,1
0.0,21.72,20.86,-273.15,1.22,1.0,1
0.1,21.72,21.72,-273.15,0.3,5.22,1
0.2,22.0,21.44,-273.15,-0.37,7.04,1
0.3,20.57,21.72,-273.15,5.28,8.3,1
0.4,22.0,21.44,-52.78,18.85,7.92,1
0.5,21.72,21.15,-273.15,29.27,7.97,1
0.6,21.44,21.44,-273.15,33.41,7.84,1
0.7,23.64,21.15,-273.15,34.98,7.84,1
0.8,22.0,19.98,-43.9,36.05,7.92,1
0.9,22.0,21.72,-273.15,37.2,7.97,1
1.0,21.72,21.44,-34.26,38.27,7.97,1
1.1,21.72,21.15,-52.78,38.75,7.92,1
1.2,22.0,19.98,-52.78,39.0,8.26,1
1.2,22.0,21.44,-52.78,39.2,8.18,1
1.3,22.0,21.44,-273.15,39.39,8.3,1
1.4,22.0,20.28,-25.85,39.6,8.26,1
1.5,22.0,21.44,-38.36,40.05,8.3,1
1.6,22.0,21.44,-273.15,40.32,8.47,1
1.7,22.0,21.44,-273.15,40.48,8.56,1
1.8,21.44,21.15,-30.98,40.58,8.26,1
1.9,21.72,21.44,-273.15,40.62,8.43,1
2.0,21.44,21.72,-52.78,40.7,8.47,1
2.1,22.0,21.44,-38.36,40.77,8.52,1
2.2,22.0,21.44,-273.15,40.91,8.6,1
2.3,22.0,20.28,-273.15,41.02,8.64,1
2.4,22.0,21.44,-273.15,41.05,8.3,1
2.4,22.28,21.44,-273.15,41.11,8.56,1
2.5,22.0,21.15,-273.15,41.17,8.3,1
2.6,22.28,22.83,-273.15,41.25,8.3,1
2.7,19.68,21.44,-43.9,41.3,8.3,1
2.8,22.0,21.15,-273.15,41.35,8.39,1
2.9,22.28,21.72,-43.9,41.35,8.43,1
3.0,22.0,21.15,-273.15,41.31,8.39,1
3.1,22.0,21.72,-273.15,41.36,8.09,1
3.2,22.0,21.72,-273.15,41.43,8.09,1
3.3,21.72,21.44,-52.78,41.43,8.26,1
3.4,22.0,21.72,-52.78,41.42,8.35,1
3.5,21.15,23.1,-273.15,41.42,8.35,1
3.5,22.28,21.72,-273.15,41.43,8.22,1
3.6,22.0,21.44,-273.15,41.5,8.3,1
3.7,20.86,21.44,-273.15,41.45,8.18,1
3.8,21.72,21.72,-273.15,41.2,8.35,1
3.9,22.0,21.44,-273.15,41.02,8.26,1
4.0,22.28,22.0,-52.78,41.02,7.92,1
4.1,22.28,21.72,-23.75,40.96,7.92,1
4.2,22.28,21.44,-273.15,40.61,8.01,1
4.3,22.28,22.0,-273.15,40.14,7.76,1
4.4,20.57,21.72,-273.15,39.8,7.67,1
4.5,20.57,21.72,-273.15,39.19,7.92,1
4.6,20.86,21.72,-273.15,38.86,7.71,1
4.7,22.56,21.72,-273.15,38.66,7.29,1
4.7,22.56,22.0,-273.15,37.96,6.66,1
4.8,22.28,22.0,-52.78,36.47,4.04,1
4.9,22.28,21.15,-52.78,32.25,-0.18,1
5.0,22.28,23.64,-273.15,20.41,-1.58,1
5.1,22.56,22.28,-273.15,7.79,-1.32,1
5.2,22.28,22.28,-38.36,3.19,-1.11,1
5.3,22.56,22.28,-273.15,2.4,-0.9,1
5.4,22.83,22.28,-52.78,2.36,-0.69,1
5.5,22.83,22.56,-273.15,2.33,-0.48,1
5.6,23.91,22.83,-38.36,2.29,-0.27,1
5.7,22.83,21.15,-273.15,2.27,-0.14,1
5.8,22.83,22.28,-273.15,2.26,0.03,1
5.8,22.83,22.28,-52.78,2.24,0.11,1
5.9,23.1,22.28,-273.15,2.23,0.2,1
6.0,23.1,22.56,-273.15,2.22,0.32,1
6.1,23.1,22.56,-273.15,2.23,0.41,1
6.2,23.37,22.83,-273.15,2.23,0.45,1
6.3,23.37,23.91,-273.15,2.22,0.53,1
6.4,23.37,22.83,-273.15,2.23,0.58,0
6.5,23.37,22.83,-52.78,2.26,0.66,0
6.6,22.56,23.1,-52.78,2.29,0.66,0
6.7,25.2,21.72,-30.98,2.3,0.75,0
6.8,23.37,22.56,-273.15,2.31,0.75,0
6.9,23.37,22.83,-52.78,2.32,0.83,0
7.0,24.43,22.56,-273.15,2.31,0.79,0
7.0,23.91,23.37,-273.15,2.3,0.79,0
7.1,23.91,23.64,-273.15,2.29,0.87,0
7.2,24.17,23.1,-273.15,2.3,0.87,0
7.3,23.91,23.64,-273.15,2.32,0.83,0
7.4,24.69,23.37,-273.15,2.33,0.87,0
7.5,24.43,23.37,-273.15,2.35,0.87,0
7.6,24.17,24.69,-273.15,2.35,0.87,0
7.7,23.91,23.37,-273.15,2.37,0.83,0
7.8,24.43,23.64,-273.15,2.38,0.87,0
7.9,24.43,23.64,-273.15,2.38,0.87,0
8.0,24.69,24.17,-52.78,2.41,0.87,0
