T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-63.2,22.83,21.15,-273.15,-0.01,1.0,0
-63.1,22.83,21.72,-52.78,-0.02,1.0,0
-63.0,23.1,21.15,-273.15,-0.02,1.04,0
-63.0,24.17,20.86,-273.15,-0.03,1.0,0
-62.9,22.28,21.15,-28.23,-0.03,1.0,0
-62.8,22.83,21.44,-273.15,-0.04,0.96,0
-62.7,22.56,21.15,-273.15,-0.04,1.0,0
-62.6,22.83,21.44,-25.85,-0.03,1.0,0
-62.5,22.83,21.72,-273.15,-0.02,0.96,0
-62.4,22.56,21.15,-273.15,-0.03,1.0,0
-62.4,22.56,21.44,-273.15,-0.04,0.96,0
-62.3,22.83,21.15,-273.15,-0.03,1.0,0
-62.2,21.15,20.28,-273.15,-0.03,1.0,0
-62.1,22.28,22.0,-273.15,-0.04,1.0,0
-62.0,23.1,21.44,-273.15,-0.04,1.0,0
-61.9,22.28,21.15,-273.15,-0.04,1.0,0
-61.8,22.28,21.44,-273.15,-0.04,1.04,0
-61.7,21.72,20.86,-273.15,-0.04,1.0,0
-61.6,24.17,22.0,-273.15,-0.05,1.0,0
-61.5,23.1,21.44,-273.15,-0.06,1.0,0
-61.5,22.83,21.72,-273.15,-0.07,1.0,0
-61.4,22.56,21.15,-273.15,-0.08,1.0,0
-61.3,22.83,21.15,-273.15,-0.08,1.04,0
-61.2,23.1,21.15,-273.15,-0.08,1.0,0
-61.1,23.37,21.15,-273.15,-0.08,1.04,0
-61.0,22.83,21.44,-34.26,-0.08,1.0,0
-60.9,22.83,21.44,-273.15,-0.08,0.96,0
-60.8,23.37,21.15,-273.15,-0.09,1.0,0
-60.7,22.56,21.15,-273.15,-0.1,1.0,0
-60.6,22.83,21.44,-273.15,-0.1,1.0,0
-60.5,22.83,21.15,-273.15,-0.11,1.0,0
-60.4,21.15,20.28,-273.15,-0.11,1.0,0
-60.4,22.83,21.44,-273.15,-0.12,1.0,0
-60.3,22.83,21.15,-273.15,-0.12,1.0,0
-60.2,22.56,21.15,-273.15,-0.12,1.0,0
-60.1,22.56,21.15,-273.15,-0.12,1.0,0
-60.0,21.72,20.57,-273.15,-0.13,1.0,0
-59.9,23.37,21.15,-273.15,-0.13,1.0,0
-59.8,22.83,21.44,-273.15,-0.13,0.96,0
-59.7,22.83,21.15,-273.15,-0.13,1.0,0
-59.6,24.95,21.44,-273.15,-0.13,1.0,0
-59.5,22.83,20.86,-52.78,-0.14,1.0,0
-59.4,23.1,21.44,-273.15,-0.15,0.96,0
-59.3,23.91,21.44,-43.9,-0.15,1.0,0
-59.2,21.15,21.44,-273.15,-0.16,1.0,0
-59.2,23.1,21.15,-52.78,-0.16,1.0,0
