T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,20.28,20.57,-273.15,-0.02,0.96,0
0.1,20.57,19.98,-273.15,-0.02,0.96,0
0.2,20.28,20.28,-273.15,-0.03,0.96,0
0.2,21.15,18.14,7.05,-0.03,1.00,0
0.3,20.57,20.28,-8.22,-0.02,0.96,0
0.4,20.57,20.28,-21.86,-0.02,1.00,0
0.5,19.98,20.28,-273.15,-0.02,0.96,0
0.6,20.57,20.86,-1.28,-0.02,1.00,0
0.7,20.28,19.98,-273.15,-0.02,0.96,0
0.8,20.57,20.28,-8.22,-0.02,1.00,0
0.9,20.57,20.28,-273.15,-0.02,0.96,0
1.0,20.57,20.57,-21.86,-0.02,0.96,0
1.0,20.28,20.86,-15.78,-0.01,1.00,0
1.1,20.57,20.28,-273.15,-0.01,1.00,0
1.2,20.28,20.57,-2.65,-0.02,0.96,0
1.3,20.57,19.07,-273.15,-0.01,0.96,0
1.4,20.86,20.28,-20.15,-0.01,0.96,0
1.5,20.57,20.57,4.58,-0.01,0.96,0
1.6,20.57,19.38,-21.86,-0.01,1.00,0
1.7,19.68,20.28,-18.58,-0.01,1.00,0
1.8,20.57,20.28,-273.15,-0.01,0.96,0
1.9,20.28,20.28,-273.15,-0.01,0.96,0
2.0,20.57,20.28,-4.87,-0.00,1.00,0
2.1,21.15,20.86,-273.15,-0.01,0.96,0
2.2,20.86,20.28,-9.15,-0.01,1.00,0
2.2,19.68,19.98,-273.15,0.00,1.00,0
2.3,20.28,20.28,-20.15,0.00,0.96,0
2.4,20.57,20.28,-14.51,0.00,0.96,0
2.5,20.57,19.38,-273.15,-0.00,1.00,0
2.6,19.38,20.57,-15.78,-0.01,0.96,0
2.7,20.57,21.15,-273.15,-0.01,1.00,0
2.8,19.68,20.28,-273.15,-0.00,1.00,0
2.9,19.98,20.28,2.96,-0.00,0.96,0
3.0,20.28,20.28,-273.15,-0.00,0.96,0
3.1,20.57,20.57,-17.13,-0.00,0.96,0
3.2,20.57,20.28,-273.15,-0.01,0.96,0
3.3,20.28,19.68,-273.15,-0.01,1.00,0
3.4,19.68,19.98,0.63,-0.01,1.00,0
3.4,19.98,20.28,-273.15,-0.01,0.96,0
3.5,20.57,20.57,-18.58,-0.01,0.96,0
3.6,19.68,18.76,-273.15,-0.01,0.96,0
3.7,20.28,20.57,-273.15,-0.00,0.96,0
3.8,20.86,20.28,-9.15,-0.00,1.00,0
3.9,19.98,19.68,-273.15,-0.01,0.96,0
4.0,20.57,20.28,-273.15,-0.00,0.96,0
4.1,20.57,20.57,-273.15,-0.01,0.96,0
4.2,20.57,20.57,-273.15,-0.01,0.96,0
4.3,20.86,20.28,2.96,-0.01,0.96,0
4.4,19.98,20.86,-273.15,-0.01,1.00,0
4.5,20.57,20.28,-17.13,-0.01,1.00,0
4.5,21.15,20.57,7.05,-0.01,1.00,0
4.6,20.57,20.57,-20.15,-0.01,0.96,0
4.7,20.86,20.28,-12.20,-0.01,0.96,0
4.8,20.57,20.57,-273.15,-0.01,1.00,0
4.9,20.57,20.28,-273.15,-0.01,1.00,0
5.0,19.98,20.28,-11.13,-0.01,1.00,0
5.1,19.98,20.28,-273.15,-0.01,1.00,0
5.2,20.28,20.28,-12.20,-0.02,0.96,0
5.3,19.68,20.28,-273.15,-0.02,0.96,0
5.4,20.28,20.28,-273.15,-0.02,0.96,0
5.5,20.57,19.98,10.16,-0.01,1.00,0
5.6,20.57,20.86,-273.15,-0.01,1.00,0
5.7,20.28,17.50,-14.51,-0.01,1.00,0
5.7,20.57,20.57,-273.15,-0.02,0.96,0
5.8,20.28,20.28,-273.15,-0.01,0.96,0
5.9,21.15,20.86,5.09,-0.01,0.96,0
6.0,20.28,20.28,-273.15,-0.02,0.96,0
6.1,20.28,20.57,-15.78,-0.02,0.96,0
6.2,20.86,20.28,7.98,-0.01,1.00,0
6.3,20.57,20.57,-273.15,-0.01,1.00,0
6.4,20.28,19.98,9.31,-0.01,1.00,0
6.5,20.57,20.28,-273.15,-0.01,1.00,0
6.6,20.28,20.57,-12.20,-0.01,0.96,0
6.7,20.28,20.57,-3.36,-0.01,1.00,0
6.8,20.28,20.28,-20.15,0.00,0.96,0
6.9,20.86,20.28,4.58,0.01,1.00,0
6.9,20.28,20.28,-273.15,0.01,0.96,0
7.0,20.57,20.28,-18.58,0.01,0.96,0
7.1,20.57,20.28,-273.15,0.01,0.96,0
7.2,21.15,20.57,-273.15,0.01,1.00,0
7.3,20.28,20.28,8.88,0.01,1.00,0
7.4,20.86,20.86,-273.15,0.01,0.96,0
7.5,20.28,19.98,-273.15,0.02,0.96,0
7.6,20.57,20.28,-21.86,0.02,0.96,0
7.7,20.57,21.44,-273.15,0.02,0.96,0
7.8,20.28,19.98,-0.63,0.02,0.96,0
7.9,20.28,19.98,-273.15,0.02,1.00,0
8.0,20.57,21.72,-17.13,0.02,0.96,0
8.0,20.57,20.28,-28.23,0.02,0.96,0
8.1,20.28,19.07,-273.15,0.02,0.96,0
8.2,20.57,20.57,-4.87,0.00,0.96,0
8.3,20.57,20.28,-273.15,0.01,0.96,0
8.4,19.98,20.28,-20.15,0.01,1.00,0
8.5,20.28,20.57,-17.13,0.01,1.00,0
8.6,21.15,20.28,-273.15,0.00,1.00,0
8.7,19.98,19.68,-6.48,-0.00,0.96,0
8.8,20.28,20.57,-273.15,0.00,0.96,0
