T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-3.0,20.57,19.98,-9.15,-0.11,0.96,0
-3.0,20.57,20.28,-273.15,-0.12,0.96,0
-2.9,20.57,19.98,-34.26,-0.11,0.96,0
-2.8,20.57,19.98,1.24,-0.11,0.91,0
-2.7,20.57,19.98,-273.15,-0.11,1.0,0
-2.6,20.57,20.28,-18.58,-0.1,0.96,0
-2.5,20.28,20.57,-273.15,-0.11,1.0,0
-2.4,20.57,21.44,-273.15,-0.11,0.96,0
-2.3,20.28,20.28,8.88,-0.11,0.96,0
-2.2,20.57,19.98,-273.15,-0.11,0.96,0
-2.1,20.28,21.44,-15.78,-0.1,0.96,0
-2.0,20.28,20.28,-2.65,-0.1,1.0,0
-1.9,20.57,19.98,-273.15,-0.1,0.96,0
-1.8,20.28,20.28,-1.28,-0.11,0.96,0
-1.8,20.28,19.98,-273.15,-0.1,0.96,0
-1.7,19.38,20.28,-20.15,-0.1,0.96,0
-1.6,20.28,19.98,-14.51,-0.1,0.96,0
-1.5,19.98,20.57,-273.15,-0.1,0.96,0
-1.4,20.57,19.68,-8.22,-0.1,1.04,0
-1.3,20.57,20.57,-273.15,-0.11,0.96,0
-1.2,20.28,20.57,-20.15,-0.1,0.96,0
-1.1,19.68,20.57,-13.32,-0.11,0.96,0
-1.0,20.57,20.57,-273.15,-0.11,1.0,0
-0.9,20.57,19.68,-8.22,-0.1,1.0,0
-0.8,19.98,20.28,-273.15,-0.1,0.96,0
-0.7,20.28,21.44,-43.9,-0.1,1.0,0
-0.6,20.86,20.28,-273.15,-0.1,0.96,0
-0.5,20.57,20.57,-10.11,-0.11,1.0,0
-0.5,20.57,20.57,-273.15,-0.11,1.0,0
-0.4,20.86,20.57,7.52,-0.1,1.0,0
-0.3,19.98,19.98,-9.15,-0.1,1.0,0
-0.2,20.28,20.57,7.98,-0.1,0.96,0
-0.1,20.28,19.98,-273.15,-0.1,1.04,0
0.0,20.28,20.28,-18.58,-0.09,0.96,1
0.1,20.28,20.57,-273.15,-0.09,0.96,1
0.2,20.28,19.68,-273.15,-0.09,1.0,1
0.3,20.57,21.15,7.52,-0.09,0.96,1
0.4,20.28,20.28,-273.15,-0.09,1.0,1
0.5,20.57,19.98,-10.11,-0.09,1.0,1
0.6,20.57,20.28,1.83,-0.08,0.96,1
0.6,19.98,19.98,-23.75,-0.08,0.96,1
0.7,20.57,20.28,8.43,-0.08,0.91,1
0.8,19.68,19.98,-273.15,-0.08,2.1,1
0.9,19.98,20.28,-17.13,-0.08,6.19,1
1.0,19.68,20.28,-273.15,1.73,6.95,1
1.1,19.98,20.28,-273.15,13.44,7.46,1
1.2,20.28,20.28,-6.48,27.15,7.38,1
1.3,19.68,20.57,-273.15,33.69,7.63,1
1.4,20.28,19.98,-23.75,36.17,7.71,1
1.5,20.57,20.57,-273.15,37.46,7.67,1
1.6,19.98,20.57,-273.15,38.16,7.71,1
1.7,19.98,20.57,-5.66,38.46,8.05,1
1.7,20.28,20.28,-273.15,38.65,8.09,1
1.8,20.28,21.15,-273.15,38.91,8.18,1
1.9,19.68,22.28,2.96,39.09,8.35,1
2.0,20.28,22.0,-23.75,39.27,8.26,1
2.1,20.57,21.72,-15.78,39.41,8.18,1
2.2,20.57,22.0,-273.15,39.51,8.26,1
2.3,20.86,22.0,-273.15,39.63,8.26,1
2.4,20.86,23.1,-5.66,39.77,8.09,1
2.5,19.98,24.17,-273.15,39.91,8.01,1
2.6,20.28,24.17,-8.22,40.0,7.97,1
2.7,20.57,24.95,-273.15,40.04,8.18,1
2.8,20.86,25.71,-23.75,40.06,8.14,1
2.9,19.98,26.7,3.51,40.14,8.14,1
2.9,20.28,26.45,-273.15,40.2,7.97,1
3.0,19.98,27.89,-273.15,40.21,8.09,1
3.1,20.57,27.89,-0.63,40.22,7.88,1
3.2,20.57,29.28,-25.85,40.3,7.84,1
3.3,20.28,30.84,6.58,40.42,7.88,1
3.4,20.28,31.7,-273.15,40.36,7.71,1
3.5,20.28,32.54,-23.75,40.35,7.63,1
3.6,20.57,34.17,-273.15,40.42,7.5,1
3.7,21.15,34.57,-273.15,40.23,7.46,1
3.8,20.86,36.13,-1.28,39.87,7.25,1
3.9,21.15,37.26,-273.15,39.46,7.29,1
4.0,20.86,38.37,-23.75,39.03,7.12,1
4.1,20.86,39.63,-273.15,38.6,6.74,1
4.1,20.86,41.02,-273.15,37.84,5.14,1
4.2,20.57,42.38,4.05,35.15,1.55,1
4.4,21.15,44.68,-2.65,27.04,-1.62,1
4.5,21.44,45.8,-18.58,13.47,-1.32,1
4.5,21.44,47.35,-273.15,4.29,-1.11,1
