T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-42.8,20.28,20.57,-273.15,-0.02,0.96,0
-42.7,20.57,19.98,-273.15,-0.02,0.96,0
-42.6,20.28,20.28,-273.15,-0.03,0.96,0
-42.6,21.15,18.14,7.05,-0.03,1.0,0
-42.5,20.57,20.28,-8.22,-0.02,0.96,0
-42.4,20.57,20.28,-21.86,-0.02,1.0,0
-42.3,19.98,20.28,-273.15,-0.02,0.96,0
-42.2,20.57,20.86,-1.28,-0.02,1.0,0
-42.1,20.28,19.98,-273.15,-0.02,0.96,0
-42.0,20.57,20.28,-8.22,-0.02,1.0,0
-41.9,20.57,20.28,-273.15,-0.02,0.96,0
-41.8,20.57,20.57,-21.86,-0.02,0.96,0
-41.8,20.28,20.86,-15.78,-0.01,1.0,0
-41.7,20.57,20.28,-273.15,-0.01,1.0,0
-41.6,20.28,20.57,-2.65,-0.02,0.96,0
-41.5,20.57,19.07,-273.15,-0.01,0.96,0
-41.4,20.86,20.28,-20.15,-0.01,0.96,0
-41.3,20.57,20.57,4.58,-0.01,0.96,0
-41.2,20.57,19.38,-21.86,-0.01,1.0,0
-41.1,19.68,20.28,-18.58,-0.01,1.0,0
-41.0,20.57,20.28,-273.15,-0.01,0.96,0
-40.9,20.28,20.28,-273.15,-0.01,0.96,0
-40.8,20.57,20.28,-4.87,-0.0,1.0,0
-40.7,21.15,20.86,-273.15,-0.01,0.96,0
-40.6,20.86,20.28,-9.15,-0.01,1.0,0
-40.6,19.68,19.98,-273.15,0.0,1.0,0
-40.5,20.28,20.28,-20.15,0.0,0.96,0
-40.4,20.57,20.28,-14.51,0.0,0.96,0
-40.3,20.57,19.38,-273.15,-0.0,1.0,0
-40.2,19.38,20.57,-15.78,-0.01,0.96,0
-40.1,20.57,21.15,-273.15,-0.01,1.0,0
-40.0,19.68,20.28,-273.15,-0.0,1.0,0
-39.9,19.98,20.28,2.96,-0.0,0.96,0
-39.8,20.28,20.28,-273.15,-0.0,0.96,0
-39.7,20.57,20.57,-17.13,-0.0,0.96,0
-39.6,20.57,20.28,-273.15,-0.01,0.96,0
-39.5,20.28,19.68,-273.15,-0.01,1.0,0
-39.4,19.68,19.98,0.63,-0.01,1.0,0
-39.4,19.98,20.28,-273.15,-0.01,0.96,0
-39.3,20.57,20.57,-18.58,-0.01,0.96,0
-39.2,19.68,18.76,-273.15,-0.01,0.96,0
-39.1,20.28,20.57,-273.15,-0.0,0.96,0
-39.0,20.86,20.28,-9.15,-0.0,1.0,0
-38.9,19.98,19.68,-273.15,-0.01,0.96,0
-38.8,20.57,20.28,-273.15,-0.0,0.96,0
-38.7,20.57,20.57,-273.15,-0.01,0.96,0
-38.6,20.57,20.57,-273.15,-0.01,0.96,0
-38.5,20.86,20.28,2.96,-0.01,0.96,0
-38.4,19.98,20.86,-273.15,-0.01,1.0,0
-38.3,20.57,20.28,-17.13,-0.01,1.0,0
-38.3,21.15,20.57,7.05,-0.01,1.0,0
-38.2,20.57,20.57,-20.15,-0.01,0.96,0
-38.1,20.86,20.28,-12.2,-0.01,0.96,0
-38.0,20.57,20.57,-273.15,-0.01,1.0,0
-37.9,20.57,20.28,-273.15,-0.01,1.0,0
-37.8,19.98,20.28,-11.13,-0.01,1.0,0
-37.7,19.98,20.28,-273.15,-0.01,1.0,0
-37.6,20.28,20.28,-12.2,-0.02,0.96,0
-37.5,19.68,20.28,-273.15,-0.02,0.96,0
-37.4,20.28,20.28,-273.15,-0.02,0.96,0
-37.3,20.57,19.98,10.16,-0.01,1.0,0
-37.2,20.57,20.86,-273.15,-0.01,1.0,0
-37.1,20.28,17.5,-14.51,-0.01,1.0,0
-37.1,20.57,20.57,-273.15,-0.02,0.96,0
-37.0,20.28,20.28,-273.15,-0.01,0.96,0
-36.9,21.15,20.86,5.09,-0.01,0.96,0
-36.8,20.28,20.28,-273.15,-0.02,0.96,0
-36.7,20.28,20.57,-15.78,-0.02,0.96,0
-36.6,20.86,20.28,7.98,-0.01,1.0,0
-36.5,20.57,20.57,-273.15,-0.01,1.0,0
